size,distance_from_center,rooms,price
300,2.63446,7,930000
291,2.52048,6,930000
300,0.424649,6,929000
510,4.57739,,915000
380,5.79053,7,900000
500,5.30819,8,900000
350,5.29784,5,900000
370,5.09024,9,900000
425,4.44433,9,900000
497,4.06245,,900000
190,2.9817,4,900000
300,2.85759,1,900000
300,0.50465,1,900000
210,0.39072,5,900000
500,0.308738,10,900000
500,0.308738,10,900000
425,4.33231,7,899000
350,9.31894,10,890000
510,5.09024,,890000
510,5.09024,6,890000
510,5.09024,,890000
510,5.09024,10,890000
510,5.09024,,890000
510,5.09024,12,890000
510,4.71574,5,890000
510,4.55524,1,890000
510,4.33231,5,890000
510,4.33231,14,890000
510,4.33231,10,890000
510,3.83992,12,890000
400,2.73517,6,890000
400,2.52048,10,890000
360,2.52048,6,890000
400,2.14118,8,890000
360,2.057,,890000
500,0.448602,,890000
500,0.308738,9,890000
500,0.156989,10,890000
500,0.308738,10,889000
98,1.43364,3,883888
740,7.58397,5,880000
375,5.09024,5,880000
425,3.70713,,880000
430,3.64369,1,880000
430,2.057,7,860000
219,5.09024,4,854100
219,4.33231,4,854100
219,4.33231,4,854000
485,6.02192,10,850000
380,6.02192,7,850000
483,5.09024,9,850000
260,5.09024,4,850000
274,5.09024,5,850000
300,4.81679,5,850000
357,4.78557,,850000
543,4.78557,12,850000
400,4.68667,1,850000
300,4.33231,,850000
480,3.83992,7,850000
376,3.20643,5,850000
334,3.16964,4,850000
180,2.74815,,850000
225,2.63446,,850000
337,2.63446,7,850000
300,2.14118,8,850000
211,1.49218,5,850000
223,0.716527,5,849000
379,2.057,6,825000
330,5.09024,6,820000
376,3.34769,8,820000
497,2.057,9,820000
632,9.38009,8,800000
520,7.16177,15,800000
300,5.81007,1,800000
460,5.09899,8,800000
300,4.78557,,800000
350,4.78557,9,800000
205,2.85759,5,800000
195,0.156989,5,800000
195,0.156989,5,800000
221,0.523096,9,795600
221,0.424649,9,795000
540,9.71245,1,790000
140,0.825181,4,790000
260,3.98548,8,785000
354,4.06245,6,778000
91,1.43364,3,775888
300,35.6138,,770000
300,2.99064,8,770000
300,2.67382,8,770000
430,2.057,9,769000
89,1.43364,2,768888
91,1.43364,3,763888
600,9.71245,9,750000
360,7.20064,8,750000
403,5.74776,5,750000
500,5.47245,,750000
426,5.09024,6,750000
275,5.09024,5,750000
275,4.33231,5,750000
275,4.33231,5,750000
250,4.33231,5,750000
350,4.33231,8,750000
350,4.33231,5,750000
350,4.33231,7,750000
340,4.33231,9,750000
240,4.33231,4,750000
275,4.30119,1,750000
480,3.90587,12,750000
363,3.80657,,750000
240,3.65409,4,750000
480,3.56307,9,750000
340,2.70573,7,750000
320,1.50126,5,750000
156,0.723688,4,750000
500,0.682579,5,750000
172,0.574537,5,750000
