size,distance_from_center,price
375,5.09024,880000
430,3.64369,880000
740,7.58397,880000
430,2.057,860000
219,4.33231,854100
219,5.09024,854100
219,4.33231,854000
485,6.02192,850000
380,6.02192,850000
400,4.68667,850000
483,5.09024,850000
180,2.74815,850000
357,4.78557,850000
543,4.78557,850000
300,4.81679,850000
225,2.63446,850000
300,4.33231,850000
334,3.16964,850000
337,2.63446,850000
300,2.14118,850000
211,1.49218,850000
260,5.09024,850000
376,3.20643,850000
274,5.09024,850000
480,3.83992,850000
223,0.716527,849000
379,2.057,825000
330,5.09024,820000
376,3.34769,820000
497,2.057,820000
300,5.81007,800000
300,4.78557,800000
350,4.78557,800000
520,7.16177,800000
632,9.38009,800000
205,2.85759,800000
195,0.156989,800000
195,0.156989,800000
460,5.09899,800000
221,0.523096,795600
221,0.424649,795000
540,9.71245,790000
140,0.825181,790000
260,3.98548,785000
354,4.06245,778000
91,1.43364,775888
300,35.6138,770000
300,2.99064,770000
300,2.67382,770000
430,2.057,769000
89,1.43364,768888
91,1.43364,763888
275,4.33231,750000
320,1.50126,750000
480,3.56307,750000
275,4.33231,750000
250,4.33231,750000
426,5.09024,750000
500,5.47245,750000
350,4.33231,750000
360,7.20064,750000
500,0.682579,750000
275,5.09024,750000
403,5.74776,750000
350,4.33231,750000
350,4.33231,750000
363,3.80657,750000
600,9.71245,750000
480,3.90587,750000
340,4.33231,750000
275,4.30119,750000
240,3.65409,750000
240,4.33231,750000
156,0.723688,750000
172,0.574537,750000
340,2.70573,750000
214,4.33231,749000
214,5.09024,749000
550,2.63446,745000
91,1.43364,743888
337,1.89028,739000
91,1.43364,732888
252,2.63446,730000
252,3.83992,730000
274,5.09024,730000
249,3.83992,730000
535,8.14662,730000
252,2.85759,730000
177,2.057,730000
252,2.85759,730000
149,4.44433,729000
91,1.43364,727888
91,1.43364,727888
207,2.85759,725000
623,6.43549,720000
480,3.56307,719000
91,1.43364,716000
140,1.43364,715000
400,5.53949,714000
400,6.0833,714000
87,1.43364,712888
300,2.63446,710000
555,5.74776,710000
300,2.63446,709000
87.61,0.825181,708888
88,1.43364,706888
501,2.21972,705000
501,2.17025,705000
959,9.71245,700000
268,4.55249,700000
90,4.33231,700000
365,6.02467,700000
392,0.891307,700000
275,5.09024,700000
963,9.38009,700000
1000,20.159,700000
959,9.66019,700000
728,9.38009,700000
960,8.45526,700000
960,9.38009,700000
960,9.38009,700000
959,9.38009,700000
959,9.38009,700000
380,13.7775,700000
141,4.44433,700000
175,3.47996,700000
350,7.20064,699000
959,5.36358,695000
380,5.09024,690000
143,2.85759,690000
256,6.02192,690000
278,5.09024,675000
315,2.52048,670000
143,0.557691,670000
179,3.20643,670000
196,2.057,668900
139,1.43364,662000
138,1.43364,661888
640,9.71245,659000
136,1.43364,656888
136,1.43364,656888
635,9.39322,650000
260,4.55249,650000
154,4.33231,650000
278,5.09024,650000
265,5.09024,650000
768,7.01354,650000
635,9.39322,650000
540,2.63446,650000
635,8.12939,650000
636,8.12939,650000
650,9.39322,650000
635,8.17868,650000
768,7.10026,650000
500,8.12939,650000
260,4.33231,650000
185,0.424649,650000
706,5.74776,650000
760,7.06187,650000
134,4.33231,650000
896,7.06187,650000
167,0.156989,650000
167,0.424649,650000
260,9.71245,650000
156,0.156989,650000
160,0.622383,650000
167,5.09024,650000
160,0.691768,650000
156,0.156989,650000
564,2.63446,650000
278,3.86458,649500
335,9.71245,649000
150,0.126705,649000
250,2.14118,640000
481,7.20064,640000
160,4.33231,640000
250,2.14118,639000
136,1.43364,630888
135.95,1.43364,630888
450,7.48647,630000
167,5.09024,630000
493,3.52113,630000
280,5.09024,629900
189,4.33231,625000
75,1.43364,623888
245,2.63446,621000
220,4.33231,620000
220,5.09024,620000
220,5.78935,620000
220,4.33231,620000
600,9.71245,620000
200,0.156989,620000
210,0.0827487,620000
310,9.71245,620000
135.95,1.43364,611888
401,0.156989,610000
73,1.43364,607888
73,1.43364,607887
74,1.43364,604888
162,1.43364,602888
162.06,1.43364,602888
163,1.43364,602888
221,22.1082,600000
130,3.91095,600000
498,5.53949,600000
360,5.09899,600000
215,2.55531,600000
280,4.78557,600000
329,2.3655,600000
498,9.71245,600000
316,5.09024,600000
300,7.20064,600000
380,3.72504,600000
202,0.424649,600000
205,2.53719,600000
163,0.424649,600000
74,1.43364,599888
400,4.06245,599000
189,5.09024,599000
171,2.14118,598500
329,2.17025,598000
329,7.20064,598000
328,2.21972,598000
329,2.21972,598000
74,1.43364,595888
76,1.43364,593888
500,9.71245,590000
468,8.15602,590000
468,8.15602,590000
1350,6.68038,590000
260,4.87223,590000
775,8.15326,590000
138,4.33231,590000
138,4.44047,590000
123,1.43364,590000
370,4.30986,588000
182,1.43364,586888
900,17.5813,580000
900,17.5813,580000
430,7.24623,580000
900,15.8059,580000
900,17.5813,580000
535,6.0833,580000
880,17.5813,580000
900,17.5813,580000
280,5.09024,580000
900,17.5813,579000
870,17.5813,579000
325,0.156989,575500
430,5.09899,575000
205,4.33231,575000
170,1.43364,572888
350,4.33231,570000
350,4.33231,570000
300,2.73471,570000
205,5.09024,570000
282,6.0833,570000
640,9.31894,570000
230,6.0833,570000
300,2.057,570000
300,2.73517,565000
205,2.14118,565000
184,1.06401,564580
700,2.85759,560000
177,2.52048,560000
171,2.52048,560000
237,2.16739,560000
171,2.057,560000
140,1.15138,560000
183,1.43364,556888
102,2.9817,551780
285,4.33231,550000
170,4.33231,550000
285,6.02192,550000
600,5.09899,550000
535,7.35429,550000
270,2.63446,550000
250,2.63446,550000
285,5.09024,550000
320,4.33231,550000
200,4.33231,550000
290,5.09024,550000
140,5.09024,550000
285,6.02192,550000
420,2.77823,550000
206,2.057,550000
420,2.52048,550000
135,4.33231,550000
244,5.09024,550000
550,5.23674,550000
449,4.49736,550000
157,2.16739,549500
570,5.09899,549000
570,6.2175,549000
400,9.31894,549000
185,1.06401,546360
155,1.89944,545000
200,0.364163,540000
145,1.43364,539000
151.84,1.43364,538888
152,1.43364,538888
152,2.14118,532000
900,17.5813,530000
82,4.78557,530000
242,0.308738,530000
146,5.09024,530000
242,0.308738,530000
320,6.28189,529000
184,1.06401,528150
182,2.057,527800
320,9.38009,525000
150,2.16739,525000
388,0.345283,520000
433,0.156989,520000
326,6.0833,520000
420,0.345283,520000
348,6.03358,520000
900,17.5813,520000
178,3.56307,520000
335,0.156989,520000
395,0.156989,519900
257,0.156989,519000
257,6.72606,519000
295,6.44531,515000
297,4.34382,515000
300,6.4284,515000
169,2.057,510000
124,4.90635,510000
169,2.057,510000
169,1.24542,510000
169,1.56083,510000
127,0.424649,510000
122.3,4.5066,510000
197,7.20064,510000
124,4.90635,510000
424,7.58397,500000
430,6.02467,500000
536,6.0833,500000
565,7.58397,500000
420,8.80805,500000
400,14.8455,500000
450,7.5862,500000
550,9.71245,500000
450,5.74776,500000
530,7.58397,500000
142,5.09899,500000
525,7.58397,500000
536,6.0833,500000
133,2.057,500000
100,0.554301,500000
600,4.98199,500000
143,2.29879,500000
137,0.424649,500000
86,0.554301,500000
155,1.32493,500000
166,0.424649,500000
237,6.29805,500000
250,1.0579,500000
163,2.6637,499900
137,2.16739,499900
350,2.67382,499000
160,1.01797,499000
163,2.61661,499000
330,3.20643,496900
330,9.71245,496900
177,1.23374,495600
456,9.38009,495000
220,2.98057,495000
220,2.98057,495000
220,3.36839,495000
150,1.89944,495000
350,6.0833,490000
196,8.15602,490000
328,3.20643,490000
653,15.5261,490000
450,2.63446,490000
400,6.36535,490000
530,3.90821,490000
150,3.6126,490000
152,0.156989,490000
133,3.20643,490000
163,0.156989,490000
306,9.71245,490000
163,0.156989,489000
163,0.424649,489000
143,1.43364,486888
187,4.90635,485265
350,4.78557,485000
240,2.47713,485000
148,0.414536,485000
148,0.414536,485000
140,1.43364,482888
144,1.43364,482888
136,2.057,482800
60,1.43364,481888
204,4.90635,481000
535,6.0833,480000
300,5.09024,480000
500,0.156989,480000
500,9.39322,480000
500,9.71245,480000
200,0.424649,480000
140,1.43364,479888
140,1.43364,479888
87,4.7589,479000
143.44,0.825181,478888
201,5.0221,478000
59,0.825181,473888
139,1.43364,472888
135,4.33231,472500
189,1.88458,472000
139,1.43364,471888
144,1.43364,470888
282,6.55267,470000
492,9.09402,470000
600,9.09402,470000
600,9.09402,470000
170,1.79684,470000
142,2.9817,470000
61.65,1.43364,467888
133,2.52048,465640
244,2.83102,465000
240,6.34408,465000
140,0.617663,465000
150,7.20064,465000
211,5.09899,464000
144,1.43364,462888
228,1.32601,462500
600,9.71245,460000
560,11.7119,460000
180,3.47248,460000
114,0.691768,460000
216,9.71245,460000
115,0.156989,460000
115,0.156989,460000
219,5.29784,460000
219,5.09899,460000
219,5.09899,460000
190,1.5106,459800
163,2.61661,459000
465,14.8455,452000
209,5.09024,451000
196,1.89028,450800
650,5.37728,450000
200,3.48303,450000
140,3.48303,450000
320,2.78117,450000
300,5.37728,450000
294,4.06245,450000
250,5.52945,450000
215,6.02467,450000
250,9.71245,450000
700,8.66102,450000
256,5.74776,450000
250,2.67382,450000
250,5.49739,450000
150,4.33231,450000
310,4.06245,450000
251,4.06245,450000
170,1.56083,450000
135,4.33231,450000
168,2.057,450000
140,0.148558,450000
170,0.156989,450000
167,2.057,450000
155,5.09024,450000
168,0.156989,450000
465,9.38009,449000
130,2.14118,449000
179,0.661775,447500
179,0.661775,447000
213,4.33231,445000
390,14.4675,442000
270,2.65438,440000
226,6.02467,440000
155,0.424649,440000
207,5.34743,438000
207,5.09024,438000
207,5.34987,438000
110,1.43364,437888
109.94,1.43364,437888
313,6.74366,435000
109,1.43364,431888
560,6.36535,430000
125,6.25952,430000
170,2.057,430000
130,0.126705,430000
428,5.37728,430000
100,4.90635,429900
235,0.523096,429900
126,1.43364,429888
140,4.33231,429000
125,0.156989,429000
125,0.156989,429000
121,4.33231,426000
126,1.43364,425888
480,3.37276,425000
220,9.71245,425000
186,3.16964,425000
187,5.09024,425000
106,0.59264,424000
144.44,1.57166,423888
201,9.71245,422100
201,0.156989,422100
201,9.39322,422100
320,5.91953,420000
257,5.09024,420000
365,5.09899,420000
190,3.46202,420000
275,8.32368,420000
190,3.47993,420000
320,4.98957,420000
451,6.17354,420000
320,9.71245,420000
320,6.35328,420000
250,14.8455,420000
320,5.91953,420000
190,4.33231,420000
120,1.06401,420000
182,4.06245,420000
119,2.16739,420000
191,3.47996,420000
119,2.057,420000
119,3.16964,420000
245,5.78935,420000
140,2.67382,420000
118,0.156989,420000
178,9.71245,420000
147,0.617663,419900
131,2.16739,419200
355,6.9526,419000
375,6.0833,419000
155,1.56083,418500
148,13.7775,418000
139,1.06401,417000
139,0.966912,417000
139,1.01797,417000
139,0.986119,417000
174,5.14228,416592
160,0.156989,416000
108,1.43364,415888
120,3.04747,415000
120,4.44433,415000
120,3.70029,415000
120,3.20643,415000
179,2.64008,415000
148,4.06245,415000
110,1.43364,412888
137,4.33231,411000
214,2.63446,410000
415,4.78557,410000
415,4.78557,410000
153,5.09024,410000
153,5.09024,410000
157,2.85759,410000
123,1.43364,409888
118,5.09024,405000
245,5.09024,405000
330,5.68715,400000
357,5.91953,400000
120,7.20064,400000
435,5.91953,400000
112,3.83992,400000
209.4,5.09024,400000
360,3.90821,400000
230,6.01333,400000
133,2.16739,400000
260,4.06245,400000
257,4.06245,400000
133,2.16739,400000
90,0.156989,400000
122,1.15138,400000
90,1.06401,400000
204,0.406916,400000
174,0.424649,400000
120,0.156989,400000
95,0.156989,400000
90,0.424649,400000
220,3.52054,400000
119,0.156989,400000
133,2.16739,400000
133,1.56083,400000
204,0.156989,400000
204,0.0827487,400000
204,1.01797,400000
133,2.057,400000
204,0.406916,400000
92,2.26694,400000
400,4.55249,400000
153.83,1.15138,399958
108.18,1.57166,399888
320,5.91953,399000
320,7.06187,399000
320,6.35917,399000
320,5.91953,399000
114,5.09024,399000
112,3.25484,399000
135,2.9817,399000
125,0.156989,399000
125,1.05038,399000
125,0.308738,399000
126,1.01797,399000
125,0.156989,399000
125,0.156989,399000
125,0.156989,399000
125,0.156989,399000
105,2.057,399000
125,1.0579,399000
123,1.43364,398888
175,9.71245,398000
103,1.43364,397888
440,7.20064,397000
330,5.09899,395000
450,26.7801,395000
150,5.26768,395000
330,6.43419,395000
330,0.156989,395000
330,5.29784,395000
600,9.71245,395000
450,5.09899,395000
450,6.43419,395000
161,2.16739,395000
250,4.78557,395000
522,6.35193,395000
150,4.8742,395000
350,2.16739,395000
315,5.74178,395000
500,5.74776,395000
150,4.8742,395000
146,5.09024,395000
158,5.09024,395000
112,1.43364,395000
158,4.33231,395000
124,1.43364,393888
124,1.43364,392888
123,2.29971,392888
95,0.156989,392000
107,1.43364,390888
345,9.71245,390000
578,9.38009,390000
260,3.88964,390000
125,3.6126,390000
155,1.06401,390000
159,3.56307,390000
159,3.56307,390000
160,3.56307,390000
127,0.424649,390000
160,7.20064,390000
148,5.09024,390000
1052,9.71245,389900
226,2.63446,389000
170,5.51127,389000
130,2.16739,389000
158,5.29784,389000
588,12.124,388000
194,7.20064,388000
119,1.43364,387888
210,4.33231,386000
332,5.47531,385000
320,5.47531,385000
74,0.156989,385000
200,3.36839,385000
112,2.53719,385000
128,2.057,384000
160,5.14228,383040
123,1.43364,382888
180,9.71245,382200
124,1.43364,380888
136,1.23374,380800
141,3.16964,380727
158,5.14228,380160
228,3.20643,380000
460,7.84599,380000
460,7.84599,380000
130,9.71245,380000
370,9.71245,380000
350,9.71245,380000
750,8.90366,380000
290,5.09899,380000
235,4.33231,380000
750,9.28964,380000
183,5.09024,380000
90,2.53719,380000
195,2.63446,380000
263,5.09024,380000
113,0.156989,380000
150,3.96324,380000
150,3.96324,380000
183,5.09024,380000
190,9.71245,380000
99,0.126705,380000
147,3.25484,379900
130,3.16964,379000
177,0.424649,377000
376,5.32863,376000
220,5.09024,376000
250,5.78935,376000
210,5.03995,376000
261,5.78935,376000
150,3.16964,375000
181,0.411135,375000
250,3.54341,375000
112,2.53719,375000
123,1.43364,373888
111,1.43364,371888
106,0.0246945,371000
110,1.43364,370888
450,7.20064,370000
200,3.60281,370000
205,6.01333,370000
300,4.78557,370000
180,8.15602,370000
510,9.59386,370000
240,6.01333,370000
150,2.63446,370000
137,2.057,370000
135,4.33231,370000
137,2.23639,370000
137,2.14118,370000
137,2.14118,370000
146,2.3617,370000
137,2.14118,370000
137,2.14118,370000
123,0.0246945,370000
137,2.14118,370000
137,2.14118,370000
137,2.14118,369888
195,3.49626,369000
195,3.47878,369000
195,3.49683,369000
195,3.50347,369000
195,2.63446,369000
177,0.156989,369000
115,0.424649,369000
149,2.26694,369000
121,1.43364,368888
107,0.825181,367888
110,1.43364,367888
119,1.43364,367888
99,5.09024,366300
230,6.01333,365000
135,4.33231,365000
